*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      DEC 02, 2018; 12:33:06
                                                                                
*RUN   1        : 86_01                     RICER046 SSKT0001    1              
 MODEL          : RICER046 - Rice                                               
 EXPERIMENT     : SSKT0001 RI mulation, Thailand                                
 DATA PATH      : C:\DSSAT46\Rice\                                              
 TREATMENT  1   : 86_01                     RICER046                            
  
!YR        Days  Days              Leaf  <--------- Dry Weight -----------> Grain Kernl              <------ Stress (0-1) ------>   Leaf  Shell  Spec  <-Canopy->  Root  <-- Root Length Density ---><Senesced Mat>   Phot  
!  and    after after  Leaf  Grow  Area  <------------ kg/Ha ------------->   per  wght  Harv Tillr  <--- Water ---->                Nit   -ing  Leaf  Hght Brdth Depth  <---- cm3/cm3 of soil -----> <--(kg/ha)-->  Therm  
!     DOY start plant   Num Stage Index  Leaf  Stem Grain  Root Panic  Crop    m2    mg  Indx   No.  Phot  Grow  Excs  Nitr Potas     %      %   Area    m     m     m    0-5  5-15 15-30 30-4242-100   Surf   Soil   Days  
@YEAR DOY   DAS   DAP  L#SD  GSTD  LAID  LWAD  SWAD  GWAD  RWAD  EWAD  CWAD  G#AD  GWGD  HIAD  T#AD  WSPD  WSGD  EWSD  NSTD  KSTD   LN%D   SH%D  SLAD  CHTD  CWID  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  SNW0C  SNW1C   DTTD  
 1986 213    35     0   7.0     1  0.24   256    28     0   127     0   284     0   0.0 0.000    33 0.000 0.000 0.000 0.000 0.000   3.20   0.00  93.1  0.00  0.00  0.05  0.84  0.11  0.00  0.00  0.00      0      0  21.59
 1986 214    36     1   8.0     1  0.24   256    28     0   133     0   284     0   0.0 0.000    33 0.000 0.000 0.000 0.293 0.000   3.42   0.00  91.8  0.00  0.00  0.09  0.89  0.11  0.00  0.00  0.00      0      0  19.42
 1986 215    37     2   8.0     1  0.23   256    28     0   141     0   284     0   0.0 0.000    33 0.000 0.000 0.000 0.000 0.000   3.48   0.00  90.5  0.00  0.00  0.12  1.00  0.13  0.00  0.00  0.00      0      0  20.52
 1986 216    38     3   8.0     1  0.23   256    28     0   152     0   285     0   0.0 0.000    33 0.501 0.668 0.000 0.000 0.000   3.80   0.00  89.1  0.00  0.00  0.15  1.13  0.16  0.00  0.00  0.00      1      0  21.47
 1986 217    39     4   8.0     1  0.23   256    28     0   167     0   285     0   0.0 0.000    33 0.000 0.000 0.000 0.000 0.000   3.80   0.00  89.1  0.00  0.00  0.19  1.29  0.20  0.00  0.00  0.00      1     12  20.06
 1986 218    40     5   9.0     1  0.23   257    28     0   179     0   286     0   0.0 0.000    33 0.000 0.000 0.000 0.000 0.000   3.79   0.00  89.6  0.00  0.00  0.23  1.51  0.25  0.02  0.00  0.00      1     25  19.93
 1986 219    41     6   9.0     1  0.23   258    28     0   194     0   287     0   0.0 0.000    33 0.000 0.000 0.000 0.000 0.000   3.77   0.00  90.0  0.00  0.00  0.26  1.68  0.29  0.03  0.00  0.00      1     39  19.72
 1986 220    42     7   9.0     2  0.25   269    37     0   204     0   306     0   0.0 0.000    96 0.000 0.000 0.000 0.000 0.000   3.53   0.00  93.6  0.00  0.00  0.30  1.88  0.33  0.05  0.00  0.00      2     54  18.85
 1986 221    43     8   9.0     2  0.27   282    48     0   214     0   330     0   0.0 0.000   102 0.000 0.000 0.000 0.000 0.000   3.45   0.00  97.0  0.00  0.00  0.33  2.02  0.36  0.06  0.00  0.00      2     70  18.05
 1986 222    44     9  10.0     2  0.31   302    64     0   225     0   366     0   0.0 0.000   111 0.000 0.000 0.000 0.000 0.000   3.42   0.00 101.6  0.00  0.00  0.36  2.14  0.38  0.08  0.01  0.00      2     86  18.90
 1986 223    45    10  10.0     2  0.34   322    81     0   231     0   402     0   0.0 0.000   118 0.000 0.000 0.000 0.000 0.000   3.39   0.00 105.6  0.00  0.00  0.40  2.27  0.41  0.09  0.02  0.00      2    103  18.11
 1986 224    46    11  10.0     2  0.40   357   110     0   245     0   467     0   0.0 0.000   133 0.000 0.000 0.000 0.000 0.000   3.40   0.00 111.6  0.00  0.00  0.43  2.36  0.42  0.10  0.04  0.00      3    121  20.28
 1986 225    47    12  10.0     2  0.44   381   130     0   254     0   512     0   0.0 0.000   141 0.000 0.000 0.000 0.000 0.000   3.38   0.00 115.2  0.00  0.00  0.47  2.51  0.45  0.11  0.06  0.01      3    140  19.65
 1986 226    48    13  10.0     2  0.50   415   159     0   267     0   574     0   0.0 0.000   155 0.000 0.000 0.000 0.000 0.000   3.39   0.00 119.3  0.00  0.00  0.50  2.61  0.47  0.12  0.07  0.01      3    159  21.13
 1986 227    49    14  11.0     2  0.57   461   197     0   285     0   658     0   0.0 0.000   173 0.000 0.000 0.000 0.000 0.000   3.37   0.00 124.1  0.00  0.00  0.54  2.75  0.49  0.13  0.09  0.03      3    180  19.44
 1986 228    50    15  11.0     2  0.64   504   232     0   302     0   737     0   0.0 0.000   189 0.000 0.000 0.000 0.000 0.000   3.36   0.00 127.7  0.00  0.00  0.58  2.93  0.53  0.15  0.11  0.05      4    202  19.20
 1986 229    51    16  11.0     2  0.71   544   265     0   317     0   809     0   0.0 0.000   202 0.000 0.000 0.000 0.000 0.000   3.35   0.00 130.6  0.00  0.00  0.60  3.09  0.56  0.16  0.14  0.07      4    225  18.85
 1986 230    52    17  11.0     2  0.81   606   316     0   342     0   922     0   0.0 0.000   223 0.000 0.000 0.000 0.000 0.000   3.11   0.00 134.3  0.00  0.00  0.62  3.21  0.60  0.17  0.16  0.09      4    250  19.60
 1986 231    53    18  11.0     2  0.90   671   378     0   370     0  1048     0   0.0 0.000   241 0.000 0.000 0.000 0.000 0.000   2.84   0.00 134.3  0.00  0.00  0.63  3.36  0.65  0.20  0.19  0.13      5    250  21.45
 1986 232    54    19  12.0     2  0.95   707   425     0   388     0  1132     0   0.0 0.000   249 0.000 0.000 0.000 0.220 0.000   2.70   0.00 133.9  0.00  0.00  0.66  3.48  0.73  0.22  0.24  0.17      6    250  20.10
 1986 233    55    20  12.0     2  1.00   748   487     0   409     0  1234     0   0.0 0.000   258 0.000 0.000 0.000 0.282 0.000   2.49   0.00 133.7  0.00  0.00  0.67  3.52  0.78  0.24  0.27  0.20      8    250  19.70
 1986 234    56    21  12.0     2  1.03   773   535     0   424     0  1308     0   0.0 0.000   263 0.000 0.000 0.000 0.376 0.000   2.40   0.00 132.7  0.00  0.00  0.71  3.58  0.84  0.26  0.30  0.24     10    250  19.55
 1986 235    57    22  12.0     2  1.04   790   569     0   432     0  1359     0   0.0 0.000   265 0.000 0.000 0.000 0.416 0.000   2.33   0.00 131.3  0.00  0.00  0.74  3.60  0.88  0.28  0.32  0.26     12    250  19.45
 1986 236    58    23  12.0     2  1.06   814   624     0   448     0  1438     0   0.0 0.000   269 0.000 0.000 0.000 0.448 0.000   2.22   0.00 130.3  0.00  0.00  0.78  3.61  0.91  0.29  0.33  0.28     15    250  20.35
 1986 237    59    24  12.0     2  1.06   826   656     0   454     0  1482     0   0.0 0.000   271 0.000 0.000 0.000 0.498 0.000   2.17   0.00 128.8  0.00  0.00  0.82  3.65  0.95  0.30  0.35  0.30     18    250  18.30
 1986 238    60    25  13.0     2  1.07   842   699     0   465     0  1541     0   0.0 0.000   273 0.000 0.000 0.000 0.520 0.000   2.10   0.00 127.4  0.00  0.00  0.85  3.66  0.97  0.31  0.36  0.31     22    250  17.65
 1986 239    61    26  13.0     2  1.08   857   744     0   475     0  1601     0   0.0 0.000   275 0.000 0.000 0.000 0.550 0.000   2.07   0.00 126.0  0.00  0.00  0.88  3.69  1.00  0.32  0.37  0.32     27    250  18.70
 1986 240    62    27  13.0     2  1.08   871   788     0   485     0  1659     0   0.0 0.000   277 0.000 0.000 0.000 0.561 0.000   2.02   0.00 124.5  0.00  0.00  0.91  3.70  1.03  0.33  0.37  0.33     31    250  19.20
 1986 241    63    28  13.0     2  1.08   881   821     0   491     0  1702     0   0.0 0.000   278 0.000 0.000 0.000 0.584 0.000   1.98   0.00 122.9  0.00  0.00  0.95  3.72  1.06  0.33  0.38  0.34     36    250  18.30
 1986 242    64    29  13.0     2  1.09   895   869     0   502     0  1764     0   0.0 0.000   280 0.000 0.000 0.000 0.597 0.000   1.93   0.00 121.5  0.00  0.00  0.98  3.73  1.08  0.34  0.39  0.35     42    250  20.50
 1986 243    65    30  13.0     2  1.09   908   920     0   513     0  1828     0   0.0 0.000   282 0.000 0.000 0.000 0.619 0.000   1.88   0.00 120.0  0.00  0.00  1.00  3.75  1.11  0.35  0.40  0.36     48    250  19.95
 1986 244    66    31  14.0     2  1.09   919   967     0   522     0  1886     0   0.0 0.000   283 0.000 0.000 0.000 0.644 0.000   1.86   0.00 118.5  0.00  0.00  1.00  3.79  1.14  0.35  0.41  0.37     55    250  18.95
 1986 245    67    32  14.0     2  1.08   928  1002     0   528     0  1929     0   0.0 0.000   284 0.000 0.000 0.000 0.651 0.000   1.83   0.00 116.8  0.00  0.00  1.00  3.80  1.17  0.36  0.42  0.38     62    250  18.30
 1986 246    68    33  14.0     2  1.08   937  1042     0   535     0  1979     0   0.0 0.000   285 0.000 0.000 0.000 0.661 0.000   1.80   0.00 115.1  0.00  0.00  1.00  3.81  1.19  0.36  0.42  0.39     70    250  20.70
 1986 247    69    34  14.0     2  1.07   944  1075     0   540     0  2019     0   0.0 0.000   286 0.000 0.000 0.000 0.673 0.000   1.78   0.00 113.4  0.00  0.00  1.00  3.83  1.21  0.37  0.43  0.39     78    250  18.75
 1986 248    70    35  14.0     2  1.06   950  1103     0   543     0  2052     0   0.0 0.000   287 0.000 0.000 0.000 0.680 0.000   1.77   0.00 111.6  0.00  0.00  1.00  3.84  1.23  0.37  0.43  0.40     87    250  17.80
 1986 249    71    36  14.0     2  1.05   956  1132     0   547     0  2088     0   0.0 0.000   288 0.000 0.000 0.000 0.683 0.000   1.78   0.00 109.8  0.00  0.00  1.00  3.85  1.24  0.37  0.44  0.40     96    250  19.10
