*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      DEC 02, 2018; 12:33:06
                                                                                
*RUN   1        : 86_01                     RICER046 SSKT0001    1              
 MODEL          : RICER046 - Rice                                               
 EXPERIMENT     : SSKT0001 RI mulation, Thailand                                
 DATA PATH      : C:\DSSAT46\Rice\                                              
 TREATMENT  1   : 86_01                     RICER046                            
  
@YEAR DOY   DAS   DAP  CNAD  GNAD  VNAD  GN%D  VN%D  NUPC  LNAD  SNAD  LN%D  SN%D  SHND  RN%D  SNN0C  SNN1C                                 
 1986 213    35     0   9.1   0.0   9.1  0.00  3.20   1.4   8.2   0.9  3.20  3.20  0.00  0.57   0.00   0.00
 1986 214    36     1   9.7   0.0   9.7  0.00  3.42   2.2   8.7   1.0  3.42  3.42  0.00  0.73   0.00   0.00
 1986 215    37     2   9.9   0.0   9.9  0.00  3.48   2.5   8.9   1.0  3.48  3.48  0.00  0.78   0.01   0.00
 1986 216    38     3  10.8   0.0  10.8  0.00  3.80   4.4   9.7   1.1  3.80  3.80  0.00  1.38   0.02   0.00
 1986 217    39     4  10.8   0.0  10.8  0.00  3.80   4.5   9.7   1.1  3.80  3.80  0.00  1.30   0.03   0.16
 1986 218    40     5  10.8   0.0  10.8  0.00  3.79   4.5   9.7   1.1  3.79  3.79  0.00  1.22   0.04   0.32
 1986 219    41     6  10.8   0.0  10.8  0.00  3.77   4.6   9.7   1.1  3.77  3.77  0.00  1.17   0.05   0.48
 1986 220    42     7  10.8   0.0  10.8  0.00  3.53   4.6   9.5   1.3  3.53  3.53  0.00  1.12   0.06   0.65
 1986 221    43     8  11.4   0.0  11.4  0.00  3.45   5.2   9.7   1.7  3.45  3.45  0.00  1.06   0.07   0.83
 1986 222    44     9  12.5   0.0  12.5  0.00  3.42   6.4  10.3   2.2  3.42  3.42  0.00  1.04   0.08   1.00
 1986 223    45    10  13.6   0.0  13.6  0.00  3.39   7.6  10.9   2.7  3.39  3.39  0.00  1.02   0.09   1.17
 1986 224    46    11  15.9   0.0  15.9  0.00  3.40  10.1  12.1   3.7  3.40  3.40  0.00  1.04   0.10   1.35
 1986 225    47    12  17.3   0.0  17.3  0.00  3.38  11.6  12.9   4.4  3.38  3.38  0.00  1.03   0.11   1.54
 1986 226    48    13  19.5   0.0  19.5  0.00  3.39  13.9  14.1   5.4  3.39  3.39  0.00  1.04   0.11   1.73
 1986 227    49    14  22.2   0.0  22.2  0.00  3.37  16.8  15.5   6.6  3.37  3.37  0.00  1.04   0.12   1.94
 1986 228    50    15  24.7   0.0  24.7  0.00  3.36  19.6  16.9   7.8  3.36  3.36  0.00  1.04   0.13   2.16
 1986 229    51    16  27.1   0.0  27.1  0.00  3.35  22.1  18.2   8.9  3.35  3.35  0.00  1.03   0.14   2.40
 1986 230    52    17  28.7   0.0  28.7  0.00  3.11  23.8  18.9   9.8  3.11  3.11  0.00  0.99   0.15   2.64
 1986 231    53    18  29.8   0.0  29.8  0.00  2.84  25.0  19.1  10.7  2.84  2.84  0.00  0.94   0.18   2.64
 1986 232    54    19  30.6   0.0  30.6  0.00  2.70  25.9  19.1  11.5  2.70  2.70  0.00  0.91   0.21   2.64
 1986 233    55    20  30.8   0.0  30.8  0.00  2.49  26.1  18.6  12.1  2.49  2.49  0.00  0.87   0.26   2.64
 1986 234    56    21  31.4   0.0  31.4  0.00  2.40  26.8  18.6  12.8  2.40  2.40  0.00  0.85   0.31   2.64
 1986 235    57    22  31.6   0.0  31.6  0.00  2.33  27.0  18.4  13.2  2.33  2.33  0.00  0.84   0.38   2.64
 1986 236    58    23  31.9   0.0  31.9  0.00  2.22  27.2  18.0  13.8  2.22  2.22  0.00  0.81   0.45   2.64
 1986 237    59    24  32.1   0.0  32.1  0.00  2.17  27.5  17.9  14.2  2.17  2.17  0.00  0.80   0.54   2.64
 1986 238    60    25  32.3   0.0  32.3  0.00  2.10  27.7  17.7  14.7  2.10  2.10  0.00  0.79   0.63   2.64
 1986 239    61    26  33.1   0.0  33.1  0.00  2.07  28.6  17.7  15.4  2.07  2.07  0.00  0.78   0.74   2.64
 1986 240    62    27  33.4   0.0  33.4  0.00  2.02  28.9  17.6  15.9  2.02  2.02  0.00  0.77   0.85   2.64
 1986 241    63    28  33.8   0.0  33.8  0.00  1.98  29.3  17.5  16.3  1.98  1.98  0.00  0.76   0.97   2.64
 1986 242    64    29  34.1   0.0  34.1  0.00  1.93  29.6  17.3  16.8  1.93  1.93  0.00  0.75   1.10   2.64
 1986 243    65    30  34.3   0.0  34.3  0.00  1.88  29.8  17.0  17.3  1.88  1.88  0.00  0.74   1.25   2.64
 1986 244    66    31  35.0   0.0  35.0  0.00  1.86  30.6  17.1  18.0  1.86  1.86  0.00  0.73   1.40   2.64
 1986 245    67    32  35.3   0.0  35.3  0.00  1.83  30.9  17.0  18.3  1.83  1.83  0.00  0.73   1.56   2.64
 1986 246    68    33  35.7   0.0  35.7  0.00  1.80  31.3  16.9  18.8  1.80  1.80  0.00  0.72   1.73   2.64
 1986 247    69    34  36.0   0.0  36.0  0.00  1.78  31.7  16.8  19.2  1.78  1.78  0.00  0.72   1.91   2.64
 1986 248    70    35  36.4   0.0  36.4  0.00  1.77  32.0  16.8  19.5  1.77  1.77  0.00  0.72   2.10   2.64
 1986 249    71    36  37.2   0.0  37.2  0.00  1.78  32.9  17.0  20.2  1.78  1.78  0.00  0.72   2.30   2.64
 1986 250    72    37  37.6   0.0  37.6  0.00  1.77  33.3  17.0  20.5  1.77  1.77  0.00  0.72   2.50   2.64
 1986 251    73    38  37.9   0.0  37.9  0.00  1.76  33.7  17.0  20.9  1.76  1.76  0.00  0.72   2.72   2.64
 1986 252    74    39  38.3   0.0  38.3  0.00  1.75  34.1  17.0  21.3  1.75  1.75  0.00  0.72   2.95   2.64
 1986 253    75    40  38.7   0.0  38.7  0.00  1.74  34.5  17.0  21.6  1.74  1.74  0.00  0.72   3.18   2.64
 1986 254    76    41  39.1   0.0  39.1  0.00  1.73  34.9  17.0  22.1  1.73  1.73  0.00  0.72   3.43   2.64
 1986 255    77    42  39.4   0.0  39.4  0.00  1.71  35.2  17.0  22.4  1.71  1.71  0.00  0.72   3.69   2.64
 1986 256    78    43  40.2   0.0  40.2  0.00  1.71  36.0  17.1  23.1  1.71  1.71  0.00  0.72   3.95   2.64
 1986 257    79    44  40.6   0.0  40.6  0.00  1.70  36.5  17.0  23.5  1.70  1.70  0.00  0.72   4.23   2.64
 1986 258    80    45  40.9   0.0  40.9  0.00  1.68  36.8  16.9  24.0  1.68  1.68  0.00  0.72   4.51   2.64
 1986 259    81    46  41.3   0.0  41.3  0.00  1.66  37.3  16.9  24.4  1.66  1.66  0.00  0.72   4.80   2.64
 1986 260    82    47  42.2   0.0  42.2  0.00  1.67  38.2  17.0  25.2  1.67  1.67  0.00  0.73   5.11   2.64
 1986 261    83    48  42.6   0.0  42.6  0.00  1.66  38.7  17.0  25.6  1.66  1.66  0.00  0.73   5.42   2.64
 1986 262    84    49  43.1   0.0  43.1  0.00  1.65  39.1  17.0  26.1  1.65  1.65  0.00  0.73   5.74   2.64
 1986 263    85    50  44.3   0.0  44.3  0.00  1.66  40.4  17.2  27.0  1.66  1.66  0.00  0.74   6.08   2.64
 1986 264    86    51  44.6   0.0  44.6  0.00  1.64  40.7  17.1  27.5  1.64  1.64  0.00  0.73   6.42   2.64
 1986 265    87    52  45.1   0.0  45.1  0.00  1.64  41.2  17.1  27.9  1.64  1.64  0.00  0.74   6.77   2.64
 1986 266    88    53  46.0   0.0  46.0  0.00  1.65  42.2  17.3  28.7  1.65  1.65  0.00  0.74   7.14   2.64
 1986 267    89    54  46.5   0.0  46.5  0.00  1.64  42.7  17.3  29.2  1.64  1.64  0.00  0.75   7.51   2.64
 1986 268    90    55  47.1   0.0  47.1  0.00  1.63  43.4  17.4  29.8  1.63  1.63  0.00  0.75   7.89   2.64
 1986 269    91    56  47.6   0.0  47.6  0.00  1.61  43.9  17.3  30.3  1.61  1.61  0.00  0.75   8.28   2.64
 1986 270    92    57  48.1   0.0  48.1  0.00  1.60  44.4  17.3  30.8  1.60  1.60  0.00  0.75   8.68   2.64
 1986 271    93    58  49.1   0.0  49.1  0.00  1.60  45.4  17.4  31.6  1.60  1.60  0.00  0.75   9.10   2.64
 1986 272    94    59  49.4   0.0  49.4  0.00  1.59  45.8  17.4  32.0  1.59  1.59  0.00  0.76   9.52   2.64
 1986 273    95    60  49.9   0.0  49.9  0.00  1.59  46.3  17.4  32.5  1.59  1.59  0.00  0.76   9.95   2.64
 1986 274    96    61  50.3   0.0  50.3  0.00  1.57  46.7  17.4  32.9  1.57  1.57  0.00  0.76  10.39   2.64
 1986 275    97    62  50.3   0.0  50.3  0.00  1.55  46.7  17.2  33.1  1.55  1.55  0.00  0.76  10.85   2.64
