*SUMMARY : SRSA8503RI mulation, Thailand                                           DSSAT Cropping System Model Ver. 4.6.1.000 -release      NOV 27, 2018; 12:04:35

!IDENTIFIERS......................... TREATMENT................ SITE INFORMATION............ DATES..........................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS......................................  WATER...............................................  NITROGEN......................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER..................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............
@   RUNNO   TRNO R# O# C# CR MODEL... TNAM..................... FNAM.... WSTA.... SOIL_ID...    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM  H#AM    H#UM  HIAM  LAIX  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM  CNAM  GNAM  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP
        1      1  1  0  0 RI RICER046 W85                       SRSA8501 SRSA8501 WI_GLTH008 1985210 1985213 1985213 1985301 1985331 1985331    11    2561    1188    1188    1373  1521  0.0270  4401   214.7 0.464   0.8     0     0   650   674   118   556     0     0   107     1    20     0    35     0    30    35    17   -99   -99   -99   -99   -99   -99   -99   -99   300   7729   7703      0      0   78054   77388      4.1      3.9     21.7      -99      1.9      1.8     10.1      -99    128.1     73.2     59.4     33.9   118  29.3  22.1  22.5  11.9  346.1  620.2  653.1  535.5  117.8
        2      2  1  0  0 RI RICER046 W86                       SRSA8601 SRSA8601 WI_GLTH008 1986210 1986213 1986213 1986299 1986333 1986333    11    2269     997     997    1273  1301  0.0270  3691   190.3 0.439   0.9     0     0   777   648   122   500     0    62   221     1    20     0    28     4    24    28    12   -99   -99   -99   -99   -99   -99   -99   -99   300   7730   7702      0      0   78119   77358      2.9      3.5     18.5      -99      1.3      1.6      8.1      -99    113.5     81.1     49.8     35.6   120  28.9  21.7  22.4  11.9  347.4  775.4  639.5  491.7  122.4
        3      3  1  0  0 RI RICER046 W87                       SRSA8501 SRSA8701 WI_GLTH008 1987210 1987213 1987213 1987296 1987327 1987327    11    2259    1008    1008    1251  1304  0.0270  3732   189.9 0.446   0.8     0     0   714   662   117   523     0    30   160     1    20     0    29     3    25    29    12   -99   -99   -99   -99   -99   -99   -99   -99   300   7724   7701      0      0   77974   77353      3.3      3.5     19.4      -99      1.5      1.6      8.7      -99    113.0     77.9     50.4     34.8   114  29.5  22.9  22.4  11.9  349.5  676.7  641.1  501.8  116.5
        4      4  1  0  0 RI RICER046 W88                       SRSA8501 SRSA8801 WI_GLTH008 1988210 1988213 1988213 1988300 1988336 1988336    11    2500    1097    1097    1403  1428  0.0270  4063   214.9 0.439   0.9     0     0   531   615   144   471     0     0    47     1    20     0    32     0    35    32    14   -99   -99   -99   -99   -99   -99   -99   -99   300   7739   7707      0      0   78284   77465      4.7      4.2     17.4      -99      2.1      1.8      7.6      -99    125.0     78.1     54.8     34.3   123  29.3  21.6  22.2  11.9  351.9  527.4  600.4  456.5  144.0
        5      5  1  0  0 RI RICER046 W89                       SRSA8501 SRSA8901 WI_GLTH008 1989210 1989213 1989213 1989300 1989331 1989331    11    2762    1263    1263    1499  1621  0.0270  4678   232.8 0.457   0.9     0     0   597   639   126   513     0     0    89     1    20     0    37     0    30    37    17   -99   -99   -99   -99   -99   -99   -99   -99   300   7735   7705      0      0   78189   77440      4.7      4.4     21.9      -99      2.1      2.0     10.0      -99    138.1     74.7     63.2     34.1   118  29.4  22.0  22.4  11.9  353.2  589.3  627.3  501.1  126.3
        6      6  1  0  0 RI RICER046 W90                       SRSA8501 SRSA9001 WI_GLTH008 1990210 1990213 1990213 1990299 1990331 1990331    11    2245     972     972    1273  1302  0.0270  3601   194.1 0.433   0.7     0     0   768   673   104   555     0    14   218     1    20     0    26     3    23    26    12   -99   -99   -99   -99   -99   -99   -99   -99   300   7726   7701      0      0   78004   77355      3.3      3.5     21.5      -99      1.4      1.5      9.3      -99    112.2     86.3     48.6     37.4   118  29.1  22.4  22.2  11.9  354.5  676.9  649.9  532.3  104.5
        7      7  1  0  0 RI RICER046 W91                       SRSA8501 SRSA9101 WI_GLTH008 1991210 1991213 1991213 1991298 1991334 1991334    11    2466    1101    1101    1365  1419  0.0270  4078   204.6 0.447   0.9     0     0   792   650   118   454     0   141   165     1    20     0    31     3    30    31    14   -99   -99   -99   -99   -99   -99   -99   -99   300   7729   7700      0      0   78152   77379      3.2      3.9     20.9      -99      1.4      1.7      9.3      -99    123.3     79.5     55.0     35.5   121  28.9  21.8  21.8  11.9  355.8  770.8  631.4  435.8  118.2
        8      8  1  0  0 RI RICER046 W92                       SRSA8501 SRSA9201 WI_GLTH008 1992210 1992213 1992213 1992301 1992336 1992336    11    3123    1510    1510    1613  1918  0.0270  5592   252.3 0.483   0.9     0     0   627   657   135   523     0     0   100     1    20     0    42     0    28    42    23   -99   -99   -99   -99   -99   -99   -99   -99   300   7738   7705      0      0   78319   77482      5.2      4.9     23.2      -99      2.5      2.4     11.2      -99    156.1     74.4     75.5     36.0   123  29.0  21.2  22.2  11.9  356.5  599.6  639.0  504.5  134.7
        9      9  1  0  0 RI RICER046 W93                       SRSA8501 SRSA9301 WI_GLTH008 1993210 1993213 1993213 1993299 1993329 1993329    11    2256    1012    1012    1244  1317  0.0270  3749   189.2 0.449   0.8     0     0   456   562   111   452     0     0    24     1    20     0    32     0    32    32    14   -99   -99   -99   -99   -99   -99   -99   -99   300   7735   7709      0      0   78164   77493      5.3      4.1     20.4      -99      2.4      1.9      9.2      -99    112.8     70.5     50.6     31.6   116  30.2  21.9  22.7  11.9  357.3  426.9  545.2  434.7  110.6
       10     10  1  0  0 RI RICER046 W94                       SRSA8501 SRSA9401 WI_GLTH008 1994210 1994213 1994213 1994303 1994335 1994335    11    2310    1027    1027    1283  1348  0.0270  3805   200.4 0.445   0.8     0     0   733   647   112   497     0    81   142     1    20     0    32     3    27    32    14   -99   -99   -99   -99   -99   -99   -99   -99   300   7728   7699      0      0   78093   77358      3.3      3.7     20.6      -99      1.5      1.6      9.1      -99    115.5     72.2     51.3     32.1   122  29.1  21.6  21.8  11.9  359.3  704.0  629.5  479.7  112.4
