*SUMMARY : SRSA8503RI mulation, Thailand                                           DSSAT Cropping System Model Ver. 4.6.1.000 -release      NOV 27, 2018; 12:35:16

!IDENTIFIERS......................... TREATMENT................ SITE INFORMATION............ DATES..........................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS......................................  WATER...............................................  NITROGEN......................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER..................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............
@   RUNNO   TRNO R# O# C# CR MODEL... TNAM..................... FNAM.... WSTA.... SOIL_ID...    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM  H#AM    H#UM  HIAM  LAIX  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM  CNAM  GNAM  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP
        1      1  1  0  0 RI RICER046 W85                       SRSA8501 SRSA8501 WI_GLTH008 1985210 1985213 1985213 1985301 1985331 1985331    11    2472    1133    1133    1340  1452  0.0270  4195   206.0 0.458   0.7     0     0   650   672   113   558     0     0   109     1    20     0    34     0    30    34    16   -99   -99   -99   -99   -99   -99   -99   -99   300   7730   7704      0      0   78053   77401      4.0      3.8     21.8      -99      1.8      1.7     10.0      -99    123.6     72.7     56.7     33.3   118  29.3  22.1  22.5  11.9  346.1  620.2  651.1  538.1  113.1
        2      2  1  0  0 RI RICER046 W86                       SRSA8601 SRSA8601 WI_GLTH008 1986210 1986213 1986213 1986299 1986333 1986333    11    2263     990     990    1274  1299  0.0270  3665   190.0 0.437   0.9     0     0   777   648   122   501     0    62   221     1    20     0    28     4    24    28    12   -99   -99   -99   -99   -99   -99   -99   -99   300   7731   7702      0      0   78130   77370      2.9      3.5     18.5      -99      1.3      1.5      8.1      -99    113.2     80.8     49.5     35.4   120  28.9  21.7  22.4  11.9  347.4  775.4  639.6  492.0  122.1
        3      3  1  0  0 RI RICER046 W87                       SRSA8501 SRSA8701 WI_GLTH008 1987210 1987213 1987213 1987296 1987327 1987327    11    2258    1007    1007    1251  1304  0.0270  3731   190.1 0.446   0.8     0     0   714   662   117   523     0    30   160     1    20     0    29     3    24    29    12   -99   -99   -99   -99   -99   -99   -99   -99   300   7725   7701      0      0   77986   77365      3.3      3.5     19.4      -99      1.5      1.6      8.6      -99    112.9     77.9     50.3     34.7   114  29.5  22.9  22.4  11.9  349.5  676.7  641.1  501.8  116.5
        4      4  1  0  0 RI RICER046 W88                       SRSA8501 SRSA8801 WI_GLTH008 1988210 1988213 1988213 1988300 1988336 1988336    11    2508    1087    1087    1421  1416  0.0270  4027   213.1 0.434   0.9     0     0   531   615   144   471     0     0    47     1    20     0    32     0    35    32    14   -99   -99   -99   -99   -99   -99   -99   -99   300   7739   7708      0      0   78291   77474      4.8      4.2     17.5      -99      2.1      1.8      7.6      -99    125.4     78.4     54.3     34.0   123  29.3  21.6  22.2  11.9  351.9  527.4  600.5  456.9  143.6
        5      5  1  0  0 RI RICER046 W89                       SRSA8501 SRSA8901 WI_GLTH008 1989210 1989213 1989213 1989300 1989331 1989331    11    2750    1256    1256    1494  1613  0.0270  4653   231.7 0.457   0.9     0     0   597   639   126   513     0     0    89     1    20     0    37     0    30    37    17   -99   -99   -99   -99   -99   -99   -99   -99   300   7735   7706      0      0   78199   77451      4.7      4.4     21.8      -99      2.1      2.0     10.0      -99    137.5     74.3     62.8     33.9   118  29.4  22.0  22.4  11.9  353.2  589.3  627.3  501.5  126.0
        6      6  1  0  0 RI RICER046 W90                       SRSA8501 SRSA9001 WI_GLTH008 1990210 1990213 1990213 1990299 1990331 1990331    11    2242     969     969    1273  1300  0.0270  3590   193.8 0.432   0.7     0     0   768   673   105   555     0    14   219     1    20     0    26     3    23    26    12   -99   -99   -99   -99   -99   -99   -99   -99   300   7727   7702      0      0   78017   77367      3.3      3.5     21.4      -99      1.4      1.5      9.3      -99    112.1     86.2     48.5     37.3   118  29.1  22.4  22.2  11.9  354.5  676.9  649.8  532.1  104.7
        7      7  1  0  0 RI RICER046 W91                       SRSA8501 SRSA9101 WI_GLTH008 1991210 1991213 1991213 1991298 1991334 1991334    11    2149     966     966    1183  1245  0.0270  3577   174.8 0.449   0.7     0     0   792   658   104   473     0   140   160     1    20     0    27     3    31    27    13   -99   -99   -99   -99   -99   -99   -99   -99   300   7725   7699      0      0   78042   77367      2.8      3.4     20.6      -99      1.3      1.5      9.3      -99    107.5     79.6     48.3     35.8   121  28.9  21.8  21.8  11.9  355.8  770.8  639.9  454.2  104.2
        8      8  1  0  0 RI RICER046 W92                       SRSA8501 SRSA9201 WI_GLTH008 1992210 1992213 1992213 1992301 1992336 1992336    11    2763    1332    1332    1431  1689  0.0270  4934   219.7 0.482   0.8     0     0   627   663   119   544     0     0    95     1    20     0    38     0    30    38    20   -99   -99   -99   -99   -99   -99   -99   -99   300   7735   7705      0      0   78228   77481      4.6      4.3     23.3      -99      2.2      2.1     11.2      -99    138.2     72.7     66.6     35.1   123  29.0  21.2  22.2  11.9  356.5  599.6  644.3  525.9  118.6
        9      9  1  0  0 RI RICER046 W93                       SRSA8501 SRSA9301 WI_GLTH008 1993210 1993213 1993213 1993299 1993329 1993329    11    2242    1005    1005    1237  1308  0.0270  3722   188.0 0.448   0.8     0     0   456   562   110   451     0     0    25     1    20     0    31     0    32    31    14   -99   -99   -99   -99   -99   -99   -99   -99   300   7735   7709      0      0   78176   77505      5.3      4.1     20.3      -99      2.4      1.8      9.1      -99    112.1     72.3     50.2     32.4   116  30.2  21.9  22.7  11.9  357.3  426.9  544.4  434.1  110.4
       10     10  1  0  0 RI RICER046 W94                       SRSA8501 SRSA9401 WI_GLTH008 1994210 1994213 1994213 1994303 1994335 1994335    11    1992     911     911    1081  1200  0.0270  3375   170.7 0.457   0.7     0     0   733   650   102   510     0    79   141     1    20     0    28     3    27    28    13   -99   -99   -99   -99   -99   -99   -99   -99   300   7725   7699      0      0   78015   77347      2.8      3.1     19.6      -99      1.3      1.4      9.0      -99     99.6     71.1     45.5     32.5   122  29.1  21.6  21.8  11.9  359.3  704.0  632.9  492.4  101.6
