*SUMMARY : SRSA8504RI mulation, Thailand                                           DSSAT Cropping System Model Ver. 4.6.1.000 -release      NOV 27, 2018; 13:12:33

!IDENTIFIERS......................... TREATMENT................ SITE INFORMATION............ DATES..........................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS......................................  WATER...............................................  NITROGEN......................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER..................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............
@   RUNNO   TRNO R# O# C# CR MODEL... TNAM..................... FNAM.... WSTA.... SOIL_ID...    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM  H#AM    H#UM  HIAM  LAIX  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM  CNAM  GNAM  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP
        1      1  1  0  0 RI RICER046 W85                       SRSA8501 SRSA8501 WI_GLTH008 1985150 1985213 1985213 1985301 1985331 1985331    11    3690    1818    1818    1872  2306  0.0270  6733   309.0 0.493   0.9     0     0  1008  1056   147   909     0     0    83     1    20     0    48     0    38    48    25   -99   -99   -99   -99   -99   -99   -99   -99   600   7716   7683      0      0   78043   77225      5.9      5.7     25.1      -99      2.9      2.8     12.4      -99    184.5     76.9     90.9     37.9   118  29.3  22.1  22.5  11.9  346.1  620.2  643.7  497.0  147.1
        2      2  1  0  0 RI RICER046 W86                       SRSA8601 SRSA8601 WI_GLTH008 1986150 1986213 1986213 1986299 1986333 1986333    11    2446    1077    1077    1370  1401  0.0270  3988   207.5 0.440   0.9     0     0  1157  1005   129   834     0    86   223     1    20     0    31     6    26    31    13   -99   -99   -99   -99   -99   -99   -99   -99   600   7709   7679      0      0   77941   77155      3.2      3.8     19.0      -99      1.4      1.7      8.4      -99    122.3     78.9     53.8     34.7   120  28.9  21.7  22.4  11.9  347.4  775.4  640.2  469.3  128.9
        3      3  1  0  0 RI RICER046 W87                       SRSA8501 SRSA8701 WI_GLTH008 1987150 1987213 1987213 1987296 1987327 1987327    11    2954    1370    1370    1584  1760  0.0270  5076   253.0 0.464   0.8     0     0  1197  1077   135   906     0    96   165     1    20     0    37    12    26    37    17   -99   -99   -99   -99   -99   -99   -99   -99   600   7708   7680      0      0   77905   77184      4.4      4.6     21.9      -99      2.0      2.2     10.2      -99    147.7     79.8     68.5     37.0   114  29.5  22.9  22.4  11.9  349.5  676.7  636.2  465.2  134.8
        4      4  1  0  0 RI RICER046 W88                       SRSA8501 SRSA8801 WI_GLTH008 1988150 1988213 1988213 1988299 1988334 1988334    11    3217    1500    1500    1717  1924  0.0270  5554   274.2 0.466   0.9     0     0   971  1056   149   907     0     0    46     1    20     0    40     0    44    40    20   -99   -99   -99   -99   -99   -99   -99   -99   600   7720   7687      0      0   78141   77296      6.1      5.2     21.6      -99      2.8      2.4     10.1      -99    160.8     80.4     75.0     37.5   121  29.3  21.7  22.2  11.9  351.9  527.4  618.4  469.8  148.8
        5      5  1  0  0 RI RICER046 W89                       SRSA8501 SRSA8901 WI_GLTH008 1989150 1989213 1989213 1989300 1989331 1989331    11    4675    2517    2517    2157  3111  0.0270  9323   356.6 0.538   0.9     0     0  1046  1062   163   899     0     0   115     1    20     0    56     0    25    56    35   -99   -99   -99   -99   -99   -99   -99   -99   600   7718   7683      0      0   78102   77280      7.9      7.2     28.7      -99      4.3      3.9     15.5      -99    233.7     83.5    125.8     44.9   118  29.4  22.0  22.4  11.9  353.2  589.3  651.0  488.8  162.7
        6      6  1  0  0 RI RICER046 W90                       SRSA8501 SRSA9001 WI_GLTH008 1990150 1990213 1990213 1990299 1990331 1990331    11    2979    1345    1345    1634  1770  0.0270  4982   263.0 0.452   0.8     0     0  1228  1069   133   874     0    95   225     1    20     0    35    11    27    35    16   -99   -99   -99   -99   -99   -99   -99   -99   600   7710   7679      0      0   77948   77171      4.4      4.7     22.4      -99      2.0      2.1     10.1      -99    149.0     85.1     67.2     38.4   118  29.1  22.4  22.2  11.9  354.5  676.9  640.2  445.6  132.9
        7      7  1  0  0 RI RICER046 W91                       SRSA8501 SRSA9101 WI_GLTH008 1991150 1991213 1991213 1991298 1991334 1991334    11    3561    1667    1667    1894  2173  0.0270  6174   303.9 0.468   0.9     0     0  1127  1031   141   851     0    77   164     1    20     0    41     4    28    41    21   -99   -99   -99   -99   -99   -99   -99   -99   600   7716   7680      0      0   78124   77243      4.6      5.7     25.3      -99      2.2      2.7     11.9      -99    178.0     86.8     83.3     40.7   121  28.9  21.8  21.8  11.9  355.8  770.8  628.9  449.3  140.6
        8      8  1  0  0 RI RICER046 W92                       SRSA8501 SRSA9201 WI_GLTH008 1992150 1992213 1992213 1992301 1992336 1992336    11    2850    1300    1300    1550  1683  0.0270  4814   245.2 0.456   0.8     0     0  1095  1072   130   925     0    37   129     1    20     0    38     3    28    38    19   -99   -99   -99   -99   -99   -99   -99   -99   600   7713   7680      0      0   78039   77213      4.8      4.4     21.9      -99      2.2      2.0     10.0      -99    142.5     75.0     65.0     34.2   123  29.0  21.2  22.2  11.9  356.5  599.6  643.8  497.0  130.0
        9      9  1  0  0 RI RICER046 W93                       SRSA8501 SRSA9301 WI_GLTH008 1993150 1993213 1993213 1993299 1993329 1993329    11    3252    1531    1531    1722  1975  0.0270  5670   278.8 0.471   0.9     0     0   769   901   142   759     0     0     0     1    20     0    44     0    46    44    20   -99   -99   -99   -99   -99   -99   -99   -99   600   7716   7683      0      0   78118   77298      7.6      6.0     22.9      -99      3.6      2.8     10.8      -99    162.6     73.9     76.6     34.8   116  30.2  21.9  22.7  11.9  357.3  426.9  542.7  400.9  142.0
       10     10  1  0  0 RI RICER046 W94                       SRSA8501 SRSA9401 WI_GLTH008 1994150 1994213 1994213 1994301 1994335 1994335    11    3440    1588    1588    1852  2058  0.0270  5880   303.6 0.462   0.9     0     0  1154  1074   143   899     0    72   145     1    20     0    45     6    27    45    20   -99   -99   -99   -99   -99   -99   -99   -99   600   7718   7680      0      0   78141   77218      4.9      5.5     24.1      -99      2.3      2.5     11.1      -99    172.0     76.4     79.4     35.3   122  29.1  21.6  21.8  11.9  359.3  704.0  624.0  449.5  143.0
