*SUMMARY : SRSA8504RI mulation, Thailand                                           DSSAT Cropping System Model Ver. 4.6.1.000 -release      NOV 27, 2018; 14:34:53

!IDENTIFIERS......................... TREATMENT................ SITE INFORMATION............ DATES..........................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS......................................  WATER...............................................  NITROGEN......................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER..................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............
@   RUNNO   TRNO R# O# C# CR MODEL... TNAM..................... FNAM.... WSTA.... SOIL_ID...    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM  H#AM    H#UM  HIAM  LAIX  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM  CNAM  GNAM  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP
        1      1  1  0  0 RI RICER046 W85                       SRSA8501 SRSA8501 WI_GLTH008 1985150 1985213 1985213 1985301 1985331 1985331    11    3908    1947    1947    1961  2465  0.0270  7212   329.2 0.498   0.9     0     0  1008  1053   156   897     0     0    86     1    20     0    50     0    38    50    27   -99   -99   -99   -99   -99   -99   -99   -99   900   7720   7684      0      0   78121   77262      6.3      6.1     25.0      -99      3.1      3.0     12.5      -99    195.4     78.2     97.3     38.9   118  29.3  22.1  22.5  11.9  346.1  620.2  640.6  484.9  156.0
        2      2  1  0  0 RI RICER046 W86                       SRSA8601 SRSA8601 WI_GLTH008 1986150 1986213 1986213 1986299 1986333 1986333    11    2779    1226    1226    1552  1589  0.0270  4541   235.7 0.441   1.0     0     0  1157  1000   143   818     0    85   226     1    20     0    34     6    26    34    15   -99   -99   -99   -99   -99   -99   -99   -99   900   7713   7681      0      0   78052   77201      3.6      4.4     19.5      -99      1.6      1.9      8.6      -99    138.9     81.7     61.3     36.1   120  28.9  21.7  22.4  11.9  347.4  775.4  634.9  452.7  142.5
        3      3  1  0  0 RI RICER046 W87                       SRSA8501 SRSA8701 WI_GLTH008 1987150 1987213 1987213 1987296 1987327 1987327    11    3321    1556    1556    1765  1990  0.0270  5764   281.6 0.469   0.9     0     0  1197  1071   150   888     0    97   169     1    20     0    41    12    26    41    18   -99   -99   -99   -99   -99   -99   -99   -99   900   7714   7682      0      0   78028   77237      4.9      5.3     22.2      -99      2.3      2.5     10.4      -99    166.0     81.0     77.8     38.0   114  29.5  22.9  22.4  11.9  349.5  676.7  630.2  447.5  149.7
        4      4  1  0  0 RI RICER046 W88                       SRSA8501 SRSA8801 WI_GLTH008 1988150 1988213 1988213 1988299 1988334 1988334    11    3413    1576    1576    1837  2023  0.0270  5836   290.0 0.462   0.9     0     0   971  1054   154   900     0     0    48     1    20     0    43     0    44    43    21   -99   -99   -99   -99   -99   -99   -99   -99   900   7725   7688      0      0   78231   77333      6.5      5.5     22.2      -99      3.0      2.6     10.3      -99    170.6     79.4     78.8     36.7   121  29.3  21.7  22.2  11.9  351.9  527.4  616.3  462.9  153.6
        5      5  1  0  0 RI RICER046 W89                       SRSA8501 SRSA8901 WI_GLTH008 1989150 1989213 1989213 1989300 1989331 1989331    11    4849    2630    2630    2219  3253  0.0270  9740   375.9 0.542   0.9     0     0  1046  1059   169   890     0     0   118     1    20     0    59     0    25    59    37   -99   -99   -99   -99   -99   -99   -99   -99   900   7721   7685      0      0   78176   77308      8.2      7.5     28.6      -99      4.5      4.1     15.5      -99    242.5     82.2    131.5     44.6   118  29.4  22.0  22.4  11.9  353.2  589.3  648.1  479.3  169.5
        6      6  1  0  0 RI RICER046 W90                       SRSA8501 SRSA9001 WI_GLTH008 1990150 1990213 1990213 1990299 1990331 1990331    11    3220    1421    1421    1799  1909  0.0270  5262   283.8 0.441   0.9     0     0  1228  1061   145   857     0    97   229     1    20     0    37    10    28    37    17   -99   -99   -99   -99   -99   -99   -99   -99   900   7715   7681      0      0   78069   77218      4.8      5.1     22.2      -99      2.1      2.2      9.8      -99    161.0     87.0     71.1     38.4   118  29.1  22.4  22.2  11.9  354.5  676.9  632.9  428.7  145.2
        7      7  1  0  0 RI RICER046 W91                       SRSA8501 SRSA9101 WI_GLTH008 1991150 1991213 1991213 1991298 1991334 1991334    11    3808    1797    1797    2011  2330  0.0270  6657   322.0 0.472   1.0     0     0  1127  1026   152   834     0    79   167     1    20     0    43     5    28    43    22   -99   -99   -99   -99   -99   -99   -99   -99   900   7720   7682      0      0   78230   77288      4.9      6.1     25.1      -99      2.3      2.9     11.8      -99    190.4     88.6     89.8     41.8   121  28.9  21.8  21.8  11.9  355.8  770.8  623.9  432.3  151.9
        8      8  1  0  0 RI RICER046 W92                       SRSA8501 SRSA9201 WI_GLTH008 1992150 1992213 1992213 1992301 1992336 1992336    11    3034    1373    1373    1661  1779  0.0270  5085   260.7 0.453   0.9     0     0  1095  1064   140   906     0    40   135     1    20     0    41     2    28    41    20   -99   -99   -99   -99   -99   -99   -99   -99   900   7718   7682      0      0   78156   77247      5.1      4.8     21.6      -99      2.3      2.2      9.8      -99    151.7     74.0     68.7     33.5   123  29.0  21.2  22.2  11.9  356.5  599.6  636.2  478.2  140.2
        9      9  1  0  0 RI RICER046 W93                       SRSA8501 SRSA9301 WI_GLTH008 1993150 1993213 1993213 1993299 1993329 1993329    11    3524    1663    1663    1860  2143  0.0270  6161   300.3 0.472   1.0     0     0   769   902   153   750     0     0     0     1    20     0    46     0    46    46    21   -99   -99   -99   -99   -99   -99   -99   -99   900   7719   7685      0      0   78201   77343      8.3      6.5     23.0      -99      3.9      3.1     10.9      -99    176.2     76.6     83.2     36.2   116  30.2  21.9  22.7  11.9  357.3  426.9  543.7  391.0  152.9
       10     10  1  0  0 RI RICER046 W94                       SRSA8501 SRSA9401 WI_GLTH008 1994150 1994213 1994213 1994301 1994335 1994335    11    3332    1538    1538    1793  1995  0.0270  5698   294.4 0.462   0.9     0     0  1154  1076   139   905     0    71   144     1    20     0    44     6    27    44    20   -99   -99   -99   -99   -99   -99   -99   -99   900   7718   7681      0      0   78137   77244      4.7      5.3     24.0      -99      2.2      2.5     11.1      -99    166.6     75.7     76.9     35.0   122  29.1  21.6  21.8  11.9  359.3  704.0  625.9  455.0  139.0
