*SUMMARY : SRSA0601RI mulation, Thailand                                           DSSAT Cropping System Model Ver. 4.6.1.000 -release      NOV 26, 2018; 16:47:28

!IDENTIFIERS......................... TREATMENT................ SITE INFORMATION............ DATES..........................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS......................................  WATER...............................................  NITROGEN......................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER..................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............
@   RUNNO   TRNO R# O# C# CR MODEL... TNAM..................... FNAM.... WSTA.... SOIL_ID...    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM  H#AM    H#UM  HIAM  LAIX  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM  CNAM  GNAM  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP
        1      1  1  0  0 RI RICER046 F1 I1                     PULU0001 SRSA0601 WI_GLTH008 2006210 2006213 2006213 2006299 2006330 2006330    11    9677    5123    5123    4554  6375  0.0270 18974   749.4 0.529   2.1   110  2585   701   693   318    29     0  2340   318     1    40     0   109    20    36   109    65   -99   -99   -99   -99   -99   -99   -99   -99   300   7756   7670      0      0   79415   77517     14.8     14.5     30.4      3.7      7.8      7.7     16.1      2.0    241.9     88.8    128.1     47.0   117  29.7  22.3  21.9  11.9  382.1  655.8  666.2    7.6  318.3
        2      2  1  0  0 RI RICER046 F1 I2                     PULU0001 SRSA0601 WI_GLTH008 2006210 2006213 2006213 2006299 2006330 2006330    11   11572    5776    5776    5797  7445  0.0270 21391   867.1 0.499   2.9     0     0   701   611   339   262     0    77   179     1    40     0   121     7    16   121    69   -99   -99   -99   -99   -99   -99   -99   -99   300   7803   7691      0      0   80172   77746     17.6     19.7     34.1      -99      8.8      9.8     17.0      -99    289.3     95.6    144.4     47.7   117  29.7  22.3  21.9  11.9  382.1  655.8  587.0  240.5  339.1
        3      3  1  0  0 RI RICER046 F1 I3                     PULU0001 SRSA0601 WI_GLTH008 2006210 2006213 2006213 2006299 2006330 2006330    11   12471    6535    6535    5936  8080  0.0270 24202   920.7 0.524   2.8     5    50   701   617   346   260    50   140   109     1    40     0   135     5    16   135    80   -99   -99   -99   -99   -99   -99   -99   -99   300   7809   7691      0      0   80212   77739     19.0     21.0     36.0    249.4     10.0     11.0     18.9    130.7    311.8     92.4    163.4     48.4   117  29.7  22.3  21.9  11.9  382.1  655.8  593.4  239.0  346.0
        4      4  1  0  0 RI RICER046 F2 I1                     PULU0001 SRSA0601 WI_GLTH008 2006210 2006213 2006213 2006299 2006330 2006330    11   16344    8136    8136    8208 10165  0.0270 30133  1127.0 0.498   2.8   110  2561   701   671   419    29     0  2340   316     3   120     0   188    23    21   188   114   -99   -99   -99   -99   -99   -99   -99   -99   300   7807   7674      0      0   80260   77634     24.9     25.3     39.1      6.4     12.4     12.6     19.4      3.2    136.2     86.9     67.8     43.3   117  29.7  22.3  21.9  11.9  382.1  655.8  644.8    7.6  418.5
        5      5  1  0  0 RI RICER046 F2 I2                     PULU0001 SRSA0601 WI_GLTH008 2006210 2006213 2006213 2006299 2006330 2006330    11   18092    8718    8718    9374 10846  0.0270 32290  1215.0 0.482   4.2     0     0   701   649   407   182     0    84   190     3   120     0   192     5    17   192   111   -99   -99   -99   -99   -99   -99   -99   -99   300   7871   7698      0      0   81355   77947     27.6     29.0     44.4      -99     13.3     14.0     21.4      -99    150.8     94.2     72.7     45.4   117  29.7  22.3  21.9  11.9  382.1  655.8  623.6  160.2  407.4
        6      6  1  0  0 RI RICER046 F2 I3                     PULU0001 SRSA0601 WI_GLTH008 2006210 2006213 2006213 2006299 2006330 2006330    11   18587    8901    8901    9686 11110  0.0270 32967  1235.2 0.479   4.2     5    50   701   641   428   200    48   143    83     3   120     0   204     5    16   204   121   -99   -99   -99   -99   -99   -99   -99   -99   300   7882   7696      0      0   81450   77892     28.3     30.2     43.4    371.7     13.6     14.4     20.8    178.0    154.9     91.1     74.2     43.6   117  29.7  22.3  21.9  11.9  382.1  655.8  616.2  178.8  427.8
        7      7  1  0  0 RI RICER046 F3 I1                     PULU0001 SRSA0601 WI_GLTH008 2006210 2006213 2006213 2006299 2006330 2006330    11    7149    3857    3857    3292  4816  0.0270 14284   566.1 0.540   1.2   110  2601   701   709   246    29     0  2340   318     1    20     0    86    20    36    86    53   -99   -99   -99   -99   -99   -99   -99   -99   300   7725   7667      0      0   78695   77400     10.9     10.5     29.1      2.7      5.9      5.7     15.7      1.5    357.4     83.1    192.9     44.8   117  29.7  22.3  21.9  11.9  382.1  655.8  682.5    7.6  245.6
        8      8  1  0  0 RI RICER046 F3 I2                     PULU0001 SRSA0601 WI_GLTH008 2006210 2006213 2006213 2006299 2006330 2006330    11   10800    5341    5341    5459  6956  0.0270 19780   825.7 0.495   2.6     0     0   701   640   324   220     0    83   231     1    20     0   112     7    18   112    63   -99   -99   -99   -99   -99   -99   -99   -99   300   7795   7690      0      0   79983   77701     16.5     17.6     33.4      -99      8.1      8.7     16.5      -99    540.0     96.4    267.0     47.7   117  29.7  22.3  21.9  11.9  382.1  655.8  614.4  198.3  323.6
        9      9  1  0  0 RI RICER046 F3 I3                     PULU0001 SRSA0601 WI_GLTH008 2006210 2006213 2006213 2006299 2006330 2006330    11   11533    6147    6147    5386  7603  0.0270 22767   871.5 0.533   2.4     5    50   701   616   327   279    51   137   111     1    20     0   126     5    16   126    75   -99   -99   -99   -99   -99   -99   -99   -99   300   7798   7690      0      0   79978   77711     17.6     19.5     35.3    230.7      9.4     10.4     18.8    122.9    576.7     91.5    307.4     48.8   117  29.7  22.3  21.9  11.9  382.1  655.8  592.8  258.0  326.9
       10     10  1  0  0 RI RICER046 F4 I1                     PULU0001 SRSA0601 WI_GLTH008 2006210 2006213 2006213 2006299 2006330 2006330    11    7961    4275    4275    3686  5335  0.0270 15833   629.7 0.537   1.5   110  2595   701   704   271    29     0  2340   318     1    20     0    93    20    36    93    57   -99   -99   -99   -99   -99   -99   -99   -99   300   7734   7667      0      0   78892   77413     12.1     11.8     29.4      3.1      6.5      6.3     15.8      1.6    398.0     85.6    213.8     46.0   117  29.7  22.3  21.9  11.9  382.1  655.8  676.8    7.6  271.0
