date,maxtmp,mintmp,rain,sunshine,avgrh,evapor,meantemp
19860102,28.50,14.20,0.00,10.30,69.00,3.80,21.30
19860103,29.00,14.30,0.00,10.30,72.00,7.10,21.60
19860104,27.40,16.30,0.00,8.80,70.00,6.50,21.80
19860105,25.00,14.30,0.00,8.50,67.00,5.80,19.60
19860106,26.00,12.10,0.00,10.00,67.00,4.90,19.00
19860107,25.70,12.80,0.00,8.70,66.00,5.90,19.20
19860108,26.80,12.40,0.00,9.80,67.00,3.60,19.60
19860109,28.10,14.20,0.00,8.90,70.00,7.30,21.10
19860110,28.00,15.50,0.00,9.30,71.00,3.80,21.70
19860111,27.80,12.90,0.00,7.10,70.00,4.90,20.30
19860112,29.00,13.60,0.00,10.00,70.00,5.60,21.30
19860113,30.00,15.70,0.00,9.20,71.00,5.80,22.80
19860114,31.10,15.50,0.00,8.50,68.00,5.10,23.30
19860115,30.40,15.80,0.00,10.00,69.00,5.50,23.10
19860116,31.70,14.90,0.00,10.20,67.00,4.80,23.30
19860117,33.00,15.00,0.00,8.80,67.00,3.80,24.00
19860118,34.30,16.50,0.00,10.00,64.00,5.20,25.40
19860119,34.10,17.50,0.00,9.50,65.00,4.90,25.80
19860120,32.70,17.70,0.00,10.00,68.00,5.80,25.20
19860121,31.00,17.20,0.00,9.10,64.00,6.80,24.10
19860122,31.10,16.00,0.00,10.10,63.00,6.10,23.50
19860123,31.70,16.20,0.00,10.10,65.00,4.20,23.90
19860124,32.70,16.40,0.00,9.80,66.00,5.10,24.50
19860125,32.70,17.30,0.00,10.00,59.00,6.70,25.00
19860126,30.00,15.30,0.00,10.40,65.00,6.10,22.60
19860127,28.80,15.50,0.00,10.50,65.00,7.00,22.10
19860128,29.00,13.00,0.00,9.70,66.00,5.70,21.00
19860129,30.00,13.00,0.00,10.00,68.00,3.50,21.50
19860130,32.40,14.00,0.00,10.20,65.00,4.20,23.20
19860131,33.70,15.10,0.00,9.30,63.00,5.50,24.40
19860201,33.70,17.20,0.00,9.50,65.00,3.40,25.40
19860202,33.70,20.30,0.00,9.10,68.00,5.70,27.00
19860203,34.20,18.40,0.00,9.80,68.00,2.40,26.30
19860204,33.60,18.80,0.00,9.80,70.00,4.30,26.20
19860205,34.30,19.10,0.00,9.30,70.00,5.40,26.70
19860206,34.00,20.50,0.00,8.20,65.00,4.20,27.20
19860207,32.90,17.00,0.00,10.20,66.00,7.30,24.90
19860208,31.00,15.20,0.00,10.20,60.00,5.80,23.10
19860209,31.80,14.10,0.00,10.80,64.00,5.80,22.90
19860210,30.60,17.30,0.00,10.80,63.00,7.00,23.90
19860211,30.70,12.80,0.00,10.40,64.00,5.00,21.70
19860212,31.60,13.00,0.00,10.30,65.00,3.40,22.30
19860213,34.40,14.90,0.00,10.60,62.00,4.30,24.60
19860214,35.30,16.80,0.00,9.80,62.00,5.70,26.00
19860215,35.90,20.20,0.00,8.80,62.00,5.90,28.00
19860216,36.40,21.20,0.00,8.50,64.00,4.70,28.80
19860217,35.60,23.30,0.00,9.60,65.00,5.80,29.40
19860218,37.00,22.00,0.00,10.10,62.00,6.50,29.50
19860219,37.10,22.30,0.00,10.00,60.00,6.10,29.70
19860220,32.40,21.10,0.00,6.70,70.00,7.40,26.70
19860221,30.20,17.60,0.00,10.00,64.00,6.90,23.90
19860222,33.20,15.60,0.00,10.00,67.00,4.40,24.40
19860223,34.00,18.00,0.00,9.90,66.00,4.50,26.00
19860224,33.80,19.80,0.00,8.60,67.00,5.60,26.80
19860225,33.80,17.90,0.00,9.10,65.00,5.90,25.80
19860226,34.00,18.20,0.00,9.30,65.00,5.50,26.10
19860227,33.70,18.70,0.00,9.80,65.00,6.30,26.20
19860228,33.20,19.30,0.00,8.80,66.00,8.60,26.20
19860301,29.60,13.60,0.00,9.80,63.00,8.10,21.60
19860302,23.00,11.30,0.00,9.10,59.00,8.40,17.10
19860303,24.30,10.40,0.00,8.50,52.00,6.20,17.30
19860304,26.80,10.30,0.00,10.20,52.00,6.40,18.50
19860305,29.50,12.30,0.00,10.10,53.00,6.50,20.90
19860306,31.10,13.70,0.00,11.00,55.00,6.10,22.40
19860307,32.80,15.50,0.00,10.10,59.00,6.00,24.10
19860308,34.50,17.00,0.00,9.90,56.00,6.30,25.70
19860309,35.30,16.50,0.00,9.80,57.00,4.60,25.90
19860310,36.50,17.50,0.00,9.40,59.00,5.30,27.00
19860311,37.20,20.60,0.00,8.80,59.00,6.00,28.90
19860312,36.70,23.00,0.00,8.90,62.00,6.10,29.80
19860313,38.60,23.50,0.00,10.00,59.00,7.20,31.00
19860314,38.90,24.50,0.00,8.90,58.00,7.50,31.70
19860315,39.20,25.50,0.00,9.90,56.00,8.00,32.30
19860316,38.80,23.70,0.00,9.00,58.00,7.20,31.20
19860317,39.80,25.00,0.00,10.10,54.00,8.60,32.40
19860318,39.70,24.60,0.00,9.80,52.00,7.80,32.10
19860319,39.80,23.80,0.00,9.90,53.00,7.70,31.80
19860320,40.30,25.40,0.00,9.30,52.00,10.00,32.80
19860321,38.90,26.20,0.00,8.90,58.00,7.00,32.50
19860322,38.70,25.40,0.00,9.80,57.00,9.60,32.00
19860323,38.60,23.80,0.00,9.40,57.00,7.80,31.20
19860324,36.00,24.90,0.00,4.30,70.00,4.50,30.40
