YY,MM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1984,1,1444,1694,1812,1950,1818,1875,1842,1631,1721,1836,1501,1554,1539,1717,1147,1465,1250,1793,1786,1688,1591,1130,1188,1040,1765,1797,1918,1835,1699,1616,1884
1984,2,1859,1742,1713,1800,1531,1767,1855,1860,1778,1278,1612,1611,1880,1842,1672,1530,2047,1710,-9999,1514,1821,1753,1715,1888,1895,1503,1500,1829,1968,-9999,-9999
1984,3,2105,2076,1966,1979,1647,1756,1776,1870,2248,2252,2123,2258,2265,2113,2172,2082,1878,2064,2062,2034,1747,1963,2076,1860,2295,2153,2265,2103,1774,-9999,2255
1984,4,2411,2480,2333,2121,2068,2261,2050,2146,-9999,2193,2135,2101,1831,2123,2231,1581,2213,1796,1797,2240,2317,-9999,2087,1339,1330,1778,1978,1812,1777,2203,-9999
1984,5,2200,2051,2313,2482,2410,1986,1846,1839,2265,1469,1992,-9999,1851,1212,2224,-9999,1291,2066,1432,2041,2070,2008,1695,1702,1822,-9999,1981,1696,2095,1467,1837
1984,6,2311,1963,1857,1517,1670,1656,1471,1205,1684,1451,1008,1413,1749,2144,2214,-9999,1572,1539,1570,1338,1229,1386,1589,2145,1529,1522,-9999,1269,1991,1932,-9999
1984,7,1750,2296,2105,1527,-9999,-9999,2008,2042,2060,1533,1831,1328,1664,1556,1451,2431,2354,1455,2632,2506,1388,1682,2188,1953,2045,1866,2095,1652,1672,1385,1566
1984,8,1333,1356,1884,1748,1273,1117,1561,1131,1202,1553,1438,1378,1247,2046,1673,1832,1362,2077,-9999,1290,2197,1886,2096,1877,1600,1375,1747,1792,1868,1168,1390
1984,9,1437,-9999,1134,-9999,1895,1682,1371,1398,1689,1572,1648,2186,1505,1469,1658,1224,1466,2024,1509,1904,1712,1770,2131,1769,-9999,1512,1214,1434,1422,-9999,-9999
1984,10,-9999,1513,1208,1393,1377,1620,1807,1626,-9999,1830,1878,2103,1117,-9999,1040,1883,1109,1757,1141,2047,1859,1822,1405,1495,1449,1373,1804,2043,1592,1764,1489
1984,11,1891,1365,-9999,1680,1635,1830,1712,1576,1179,-9999,1248,1760,1558,1329,1772,1814,1592,1624,1922,1965,1948,1931,1833,1895,1918,1911,1701,1336,1320,1205,-9999
1984,12,1121,1761,1745,1566,1775,1621,1418,1570,1181,1201,1355,1868,1764,1741,1586,1404,1414,1164,1542,1508,1559,1353,1477,1504,1795,1775,1603,1644,1779,1804,1818
1985,1,1761,1591,1539,1684,1694,1697,1398,1620,1603,1657,1683,1516,1459,1506,1675,1550,1404,1216,1390,1563,1595,1617,1333,1221,1537,-9999,1701,1737,1771,1915,1919
1985,2,1792,1854,1642,1712,1954,1829,1830,1608,1811,1660,1901,1854,1982,1825,1822,1974,2109,2224,1992,2249,2169,1281,1415,1069,1830,1746,1796,1705,-9999,-9999,-9999
1985,3,2168,2280,2003,1653,2066,1640,1792,2134,2124,1922,2018,1903,1941,1899,1915,1958,1705,1764,2175,2006,1896,1863,1933,1915,1885,2255,2257,2248,2270,2290,-9999
1985,4,1960,2187,2054,2164,1059,1976,2247,2313,2401,2460,2426,2438,2470,2500,1910,1439,-9999,1593,2064,2084,1856,1721,1640,1922,1515,-9999,2087,1662,1411,1342,-9999
1985,5,2142,2312,2166,2232,2444,2422,2103,2129,1514,1556,1333,-9999,1581,1623,1484,2446,1662,1845,1856,1760,-9999,1773,2078,1464,2128,1232,1804,1418,1400,1196,1059
1985,6,2379,1480,1734,1602,1417,1508,1757,2068,1600,1581,1858,1544,1409,-9999,-9999,1957,-9999,1230,1300,1145,1555,1716,1350,1619,1310,1272,1278,1208,1029,-9999,-9999
1985,7,1433,1719,-9999,1720,1406,1634,1684,1486,1430,1174,1451,1056,1701,1703,2262,2191,1649,-9999,1288,2144,2058,1827,1225,1098,2074,2261,1685,1245,1445,-9999,-9999
1985,8,1879,1604,1529,1585,1721,1830,1310,1744,1819,1475,1452,1469,1599,1651,1608,1497,1492,1391,1331,1452,1417,1318,1484,1504,1407,1132,1519,1266,1525,1708,1821
1985,9,1799,1932,1916,2033,1843,1878,1396,1185,1633,1295,1957,1883,-9999,1492,1192,-9999,1919,-9999,1378,1214,1452,1524,-9999,-9999,1416,1696,1538,1984,1923,1764,-9999
1985,10,1329,1012,1286,1257,-9999,1682,1006,-9999,1237,-9999,1578,-9999,-9999,-9999,1701,1421,1837,-9999,1150,1401,1145,-9999,1700,1838,1206,-9999,1385,1377,1014,1721,1225
1985,11,1896,1836,1744,1656,1464,1228,1482,1203,1532,1649,1600,1506,-9999,-9999,1787,1654,1787,1499,1614,-9999,1870,1895,1989,1997,1673,-9999,-9999,1337,-9999,1518,-9999
1985,12,1800,1551,1636,1634,1607,1532,1682,1827,1528,1692,1675,1522,1350,1502,1795,1658,1730,1638,1545,1625,1373,1673,1711,1630,1430,1629,1654,1619,1504,1576,1647
1986,1,1582,1618,1634,1697,1762,1588,1718,1721,1633,1452,1739,1696,1569,1743,1679,1706,1645,1591,1234,1175,1083,1584,1696,1343,1294,1714,1707,1761,1756,1426,1487
1986,2,1575,1776,1704,1851,1897,1844,1538,1722,1907,1850,1972,1769,1794,1651,1728,1804,1713,1996,1961,1985,1575,1852,1838,1860,-9999,1589,1717,1467,-9999,-9999,-9999
1986,3,1813,1851,2027,2000,1892,1991,1854,1777,1853,1853,1933,2121,2117,2153,2191,2197,2150,2089,1913,2000,2139,2133,2176,2043,1261,1976,2004,1651,2136,2314,2277
1986,4,1936,2034,1888,1899,2011,-9999,1724,1821,2009,2120,2052,1586,1836,1867,2447,2456,2413,2467,2452,2507,2326,2332,2193,1827,2190,2249,2484,2497,1937,2216,-9999
1986,5,1239,2148,1444,1573,2362,1539,1932,-9999,-9999,-9999,1939,2277,2406,1849,1924,2252,1866,1989,2088,1579,1613,1630,1684,1825,2008,1969,2224,2114,2094,2371,2499
1986,6,2132,2178,2272,2340,1837,1221,1400,2201,2486,2396,1309,1376,1676,2027,2252,2289,2017,2224,1027,1175,1469,2055,1775,1169,1418,1460,1758,2082,2267,1989,-9999
1986,7,1841,1958,1778,1754,1284,-9999,2089,2047,1850,1777,1059,1380,1725,1811,1880,2117,1560,1605,1199,1072,-9999,-9999,-9999,1278,1256,1123,1446,2028,1312,1628,1468
1986,8,2345,1937,1777,1651,-9999,1651,1646,1417,1297,1196,1306,1717,1362,1564,1777,1765,1314,1383,1964,2091,1996,1515,1736,1963,1337,1477,1632,1949,1605,1917,1503
1986,9,2442,2103,1847,1320,1799,1563,1504,-9999,-9999,-9999,-9999,1534,1537,1646,1478,1483,1767,2049,1830,1236,2204,1737,1808,1131,1750,1910,1688,1707,-9999,-9999,-9999
