YY,MM,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2009,01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2009,02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2207,2073,2091,2109,2079,2150,,,
2009,03,2207,1805,2188,2381,1965,1653,2367,2398,2398,2168,2019,1286,2213,854,2061,1934,2358,2278,2205,2460,2232,2149,2596,2231,2494,2309,2391,2588,2427,1427,1783
2009,04,2474,2328,2355,1956,1913,2183,1974,2323,1559,2101,2152,2595,2124,2473,2378,2503,2605,2069,1776,2175,1963,1724,2064,1866,2198,748,1301,2188,1910,2207,
2009,05,2015,2216,1083,1944,2277,2317,2095,2046,2368,1530,1796,1535,1231,1687,986,2309,2454,1807,1805,1998,1560,1692,1633,1588,1779,1225,1391,1371,2063,1717,1537
2009,06,1784,1456,1102,819,1650,1384,2201,2119,1668,1568,1621,2192,1883,1800,1953,1648,1134,1718,1803,1269,1266,663,1696,1847,2357,2228,2126,2168,1333,1110,
2009,07,1749,2244,2119,1824,985,1311,1831,1594,2448,2240,1885,2031,699,1170,1030,1096,1397,1509,1233,1491,1280,745,1065,1694,1311,2152,1800,1748,1369,959,901
2009,08,1615,1111,997,883,1971,1680,945,1244,778,1020,1694,2015,1609,1840,2222,2172,2186,1750,2339,2307,2464,1719,2442,2129,2028,2269,2564,1404,1333,1824,1553
2009,09,1759,1615,1659,1448,1352,1358,1244,1309,1805,1983,1527,1921,1998,2073,1706,1628,1264,1700,2301,2055,2438,1589,1800,1478,1737,863,1782,1617,1462,923,
2009,10,750,1220,2016,2121,1500,1353,849,1509,1226,1655,939,704,1879,2274,1519,1665,2033,1189,1369,2003,1637,2076,519,1541,2092,2003,2032,1267,1961,1997,2045
2009,11,1996,1825,655,1698,1926,1934,1870,1765,1948,1708,1849,1878,1848,1438,1283,1670,1771,1159,1858,1818,1722,1459,1895,1732,1875,1808,1732,1737,1764,1771,
2009,12,1636,1708,1696,1693,1735,1570,1645,1619,1645,-9999,-9999,1832,1647,1754,1528,1821,1777,1823,1275,1343,1876,1830,1858,1826,1709,1819,1792,1857,1772,1702,1847
2010,01,1769,1635,1870,1724,1857,1575,1669,1527,1794,1863,1975,1664,1524,1606,1434,1682,1842,1845,1907,1441,1594,1540,1151,1799,1983,1746,1774,1815,1838,1712,1891
2010,02,1811,1680,1905,2008,2030,2039,2132,1955,2169,2104,2098,2027,2050,2110,2103,2137,2102,2129,2018,1810,1887,2152,2283,2158,2108,2288,2265,1951,,,
2010,03,1879,2204,2383,2412,2401,2273,2039,2285,2211,640,1831,2143,2260,2407,2392,2228,1903,1883,2082,2169,2136,2047,2363,2394,2205,700,2143,2151,1933,2194,2181
2010,04,2218,2328,2407,2362,2414,2514,2548,2461,1909,2237,2319,2556,2542,2402,2473,2141,1037,1769,2382,2418,2456,2480,2434,1029,2497,2348,2173,2137,2009,2578,
2010,05,2511,2057,2536,2080,2461,2362,2548,2340,2441,2298,2309,922,2060,2315,2325,1667,2262,1733,2116,2026,2358,1882,2403,2316,1988,916,1723,1720,1544,2023,1873
2010,06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1978,2531,1821,1612,1347,1883,1915,
2010,07,1763,1033,1566,1512,2348,2387,2537,2370,1903,2405,1900,2498,2120,2033,1860,1558,1797,1330,1254,1924,2397,1731,1222,1257,1357,1496,1366,1759,2000,1614,1934
2010,08,2134,888,1395,1269,1147,1054,1754,1828,1667,1822,1227,1740,1620,1000,2230,2238,1770,1950,2331,752,856,1395,1826,1707,1728,1930,2240,888,939,1273,1468
2010,09,2151,1726,1106,910,2296,1639,2413,2423,2225,1423,1645,1866,2073,1321,1542,2146,2041,1407,2078,2411,2429,2095,2416,2275,2399,1722,1038,1234,1013,2371,
2010,10,1955,656,722,1572,728,1188,1902,2242,1910,1877,924,986,1432,1070,968,1292,1000,1623,2100,1723,1462,1520,2181,1809,1811,1872,1211,625,2080,1352,1363
2010,11,953,1333,1408,1713,1569,1737,1667,1689,1475,1271,805,1175,1380,1876,1313,1727,1582,1181,1587,1449,1857,1904,1867,1763,1697,1814,1770,1664,1765,1120,
2010,12,1090,1608,1316,1542,1558,973,1008,1524,1702,1668,1668,1661,1837,1566,1828,1278,588,1828,1542,1608,1565,1653,1769,1809,1619,1237,1361,1812,1699,1770,1731
2011,01,1796,1734,1678,1715,1454,967,1464,1711,1810,1743,1449,1237,1780,1588,1476,1680,1594,1757,1698,1826,1750,1641,1431,1601,1693,1745,1636,1650,1644,1655,1775
2011,02,1694,1711,1729,1658,1781,1794,1819,1997,2103,2056,1919,1777,1808,1808,1856,2045,1994,2070,2029,2053,1676,2049,1882,1184,1792,1415,1261,2023,,,
2011,03,1977,2076,2123,666,1846,2097,2031,1003,820,660,1887,1909,1679,2162,2175,552,928,2256,2359,2487,2389,1922,424,1128,401,1221,990,527,826,991,939
2011,04,1644,2096,2002,1871,2170,2093,2318,2222,1713,1791,2249,1826,2103,2395,2447,2521,2267,2007,1815,2286,2390,2140,2213,2109,1682,2110,2065,2434,2177,2388,
2011,05,1687,2472,1824,1629,1863,1818,2228,2008,2018,1189,1755,2046,1580,1250,2041,2261,2429,888,1950,2321,2356,1783,2161,1658,1910,2381,1663,1396,2336,2152,2030
2011,06,2506,2327,1530,1486,2072,1274,1248,2054,1635,1400,1807,1637,777,1194,1427,1562,605,1035,1243,930,1642,2041,2271,1625,1619,1567,875,1693,1606,1198,
2011,07,977,1465,1314,1757,2312,2438,2543,2289,1807,1630,1874,1821,1373,1806,1108,1372,1859,1787,1380,1508,820,1043,1689,1799,1613,2034,1835,2050,1804,478,705
2011,08,712,1714,1861,2355,2506,2087,1928,1818,1585,930,1353,1932,2182,1517,1215,1265,1412,1752,1175,1624,1517,2319,1936,2457,1917,1392,1647,1450,1106,1199,1801
2011,09,1639,1421,1815,2018,1100,1520,1392,1193,1390,1395,826,1775,1918,1643,1012,1697,1382,1556,1898,1132,997,909,1257,1179,1440,1990,1247,1262,1746,1700,
2011,10,1405,1122,1289,1020,1765,1113,1774,2189,1839,612,1770,2215,1275,1242,1208,2203,1058,1559,2179,1478,1503,1927,1577,2008,2056,1976,1758,1563,2084,1569,2088
2011,11,2006,2040,2034,1755,1691,1418,1781,1400,1442,1818,1462,1736,563,1122,1446,1872,1840,1844,1865,1760,1771,1761,1776,1572,1727,1765,1786,1833,1650,1767,
2011,12,1719,1678,1357,1170,977,1622,1627,718,674,1690,1561,1655,1549,1228,1156,1256,1251,1653,1556,1614,1553,1050,1499,1435,1492,1530,1598,1646,1676,1696,1661
2012,01,1251,660,657,1462,1583,1744,1745,1849,1803,1693,1458,970,1265,1462,1022,1625,1545,1891,1242,1836,1750,1996,1899,1931,1784,1826,1209,1438,1597,723,618
2012,02,1740,753,1789,1774,1846,1889,2060,2116,1733,1965,1944,1912,1935,1851,1844,1908,1574,370,1184,1965,2117,2116,1935,2187,2278,2156,1893,2086,2222,,
2012,03,2153,2118,1944,2382,2301,2441,2354,1533,2281,2017,994,1373,2194,2037,1806,2236,2213,1976,2262,2395,2496,2351,2373,1868,1463,1863,1772,1967,2115,1744,1723
2012,04,1028,1923,2091,1630,1595,1672,1647,2477,1955,2100,1940,2076,2122,2394,1892,2155,2311,2253,2114,2040,2096,2414,2370,2336,2482,2296,2258,2125,2517,2205,
2012,05,1825,1640,1838,1857,1005,1281,1654,1366,1666,1834,2410,1772,1720,2080,2096,1436,1643,1934,1948,2049,1637,1941,1329,1544,1500,1434,1716,1336,1530,1245,1618
2012,06,1609,1119,1547,1842,2074,1534,1758,1870,1669,1674,2118,1489,1601,1570,1441,1253,1033,1639,1942,1601,1357,1935,1866,1808,1744,1463,1112,1281,1737,1023,
2012,07,1213,1678,1249,1491,1776,1049,1495,1778,1452,2091,2137,632,1470,2232,1799,2213,2063,800,1150,905,2368,2238,1917,1461,1004,1179,1031,1209,1537,1033,1008
2012,08,1079,1077,1129,1536,2316,1988,1127,1307,1237,1688,2022,1704,1249,1580,1482,1576,1169,1799,1966,1623,1933,1705,1771,2027,1547,1373,1684,1798,1514,1409,945
2012,09,889,928,1049,1527,1831,400,1123,2278,2048,2226,2210,2031,1754,1726,569,1005,1765,2033,1563,1648,1194,1553,1963,1499,1591,1755,1628,1194,836,1365,
2012,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2012,11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
2012,12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
