YY,MM,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2009,01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2009,02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2543,2538,2633,2596,1570,-9999,-9999,-9999
2009,03,-9999,-9999,1924,1831,1882,2599,2549,2604,2448,2523,2664,2307,2303,2224,1811,1987,2422,1974,1633,2032,-9999,2512,2587,1731,2394,2103,1785,2403,1953,2380,2424
2009,04,2167,-9999,1766,2224,2291,1935,1687,2027,1669,2037,2046,2060,2330,2554,-9999,2273,2622,2325,2246,2670,1633,2019,2561,2465,1853,2504,2436,2339,2375,2405,-9999
2009,05,2333,1971,1478,-9999,1927,1896,1901,2404,2645,2427,1806,2007,2035,1686,1968,2250,-9999,2250,-9999,2280,-9999,2095,1441,2173,1608,-9999,1506,-9999,2135,-9999,1577
2009,06,2300,1926,1817,2223,2136,2357,2545,2507,2558,1994,2341,2501,2447,2484,2130,1709,1883,-9999,1489,2390,1915,2221,2477,2518,2117,2044,2211,1415,1986,1551,-9999
2009,07,1940,2058,2493,1663,2142,1497,2254,2457,2280,1884,1980,-9999,1542,2208,1929,-9999,1785,2011,2438,2036,1384,-9999,1846,1747,2312,1985,1897,1866,2472,2268,2421
2009,08,1583,2201,2206,2296,1250,1295,1540,1556,1985,1757,1316,1886,1992,1924,2164,2211,2480,1938,1881,2097,1639,2122,2170,1417,2237,1715,1357,1657,1994,1326,1704
2009,09,-9999,1686,-9999,2296,-9999,2110,2168,2015,1485,2081,2269,1617,1764,1837,2183,1731,2173,2390,1845,2119,2401,1996,2415,1592,1361,1719,1880,1846,2051,1366,-9999
2009,10,1583,2201,2206,2296,1250,1295,1540,1556,1985,1757,1316,1886,1992,1924,2164,2211,2480,1938,1881,2097,1639,2122,2170,1417,2237,1715,1357,1657,1994,1326,1704
2009,11,2001,2020,1505,-9999,1464,-9999,1557,2196,2108,1309,2187,2336,2238,1882,1573,2128,1939,-9999,1323,-9999,-9999,-9999,-9999,1167,1314,1931,1896,1702,1845,1590,-9999
2009,12,-9999,-9999,2040,-9999,1864,2022,1493,2234,2172,2174,1932,2173,1956,1880,2235,1690,1690,-9999,1503,1607,2048,1589,1601,2072,2027,1977,1928,2124,2157,2185,2128
2010,01,1486,1385,962,2023,981,2156,809,1674,1893,1878,2095,2080,2065,1481,1980,1900,1879,2210,1928,2067,1778,2127,2104,2259,2326,1484,1962,2216,2199,2412,2327
2010,02,2384,2411,1896,2020,2369,2441,2254,2371,2030,1919,2101,2209,2127,2321,2442,2408,2146,2193,2463,2563,2465,2312,2432,2201,2261,2451,2025,2581,-9999,-9999,-9999
2010,03,2501,2262,2572,2548,2647,2582,2581,2630,2577,2438,2360,2377,2524,2591,2590,2457,2211,2214,2451,2599,2554,2444,2404,2596,2721,2434,2198,2219,2105,2369,2327
2010,04,2135,2453,2524,2680,2342,2652,2598,2401,2668,2386,2640,2576,2515,2640,2653,2505,2132,2613,2504,2461,2701,2522,2623,2608,1961,1944,1761,2128,1865,2651,-9999
2010,05,2374,2635,2600,2511,2569,2580,2644,2313,2464,2155,2501,1878,1668,2502,2035,2152,2327,1447,1324,2548,2118,734,2140,2300,2304,1952,2350,1997,2393,2223,2202
2010,06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1635,1509,2030,1775,1251,2002,2300,-9999
2010,07,1814,1482,1741,1749,2222,1577,1768,2517,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2010,08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2010,09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2010,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
