YY,MM,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2009,01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2009,02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1787,2014,1899,1917,1641,-9999,-9999,-9999
2009,03,1815,1599,1844,1980,2044,2250,1817,1757,1757,2541,2019,2422,2286,884,2127,2002,2439,2355,1643,1900,1765,2181,2260,1869,1745,2510,2315,1574,1701,2206,2186
2009,04,1890,2129,2215,2385,2328,2288,2361,2437,2138,2083,1257,2040,1808,2004,1831,2396,2305,2489,2535,2314,2322,2316,2180,2361,2188,1893,1464,1849,1381,1799,-9999
2009,05,1950,2525,2481,2300,2358,2078,2173,2013,1531,2296,2084,1644,1253,2137,2460,2421,2111,1638,1596,1665,1554,1540,1657,2454,2132,2255,1839,1808,1677,1116,1817
2009,06,2229,2167,1824,1941,1855,2378,2121,2541,2627,2247,1650,2240,2320,2308,2070,1077,1674,2406,1927,1476,1919,2163,1755,2080,2421,1775,1432,1521,2066,2671,-9999
2009,07,2455,2169,2410,2063,887,1573,1361,2007,2122,2293,2289,1236,949,1606,1115,1055,1598,1652,2030,1479,880,1194,1669,2263,2134,2452,2190,1803,985,821,395
2009,08,1695,1524,1559,1770,1900,1907,1053,880,918,1103,1705,1312,1198,1534,1110,1730,962,2231,1545,2193,2066,1437,1402,1710,1986,1983,2123,886,1666,1677,1777
2009,09,1933,1370,1424,514,1647,1761,1788,985,1692,2229,1584,2230,2044,1363,893,1077,1146,2199,2058,1818,2317,2154,1077,1136,1155,1297,1659,1222,303,301,-9999
2009,10,1330,1289,1796,1523,1472,2092,1704,1523,1891,1988,1836,1696,1736,1471,1593,2188,1814,1336,1138,1451,1064,1942,1372,1895,1896,1767,1885,1971,2068,2237,2169
2009,11,2189,1778,1445,1870,1964,2079,1526,2177,1614,1716,1388,2169,1771,1537,1395,1542,1438,2039,2090,1954,1964,2075,2009,1990,1942,1814,1844,1966,1969,2041,-9999
2009,12,1957,1913,1814,1758,1837,1806,1962,1873,1782,1846,1786,1860,1344,1754,1499,1777,1817,1751,1782,1831,1900,1859,1915,1837,1815,1809,1566,1484,1688,1750,1673
2010,01,1762,1795,1772,1823,1706,1804,1673,1421,1829,1906,1853,1784,1855,1891,1788,1531,1957,1935,1375,1064,817,1697,1313,1772,2023,2044,1904,1749,1883,1909,1809
2010,02,1818,1802,1678,1585,1930,1689,1710,1715,1888,1898,1902,1848,1822,1823,1769,1941,1913,1916,1937,1515,1252,1823,1747,2020,2141,1805,2087,1530,-9999,-9999,-9999
2010,03,2062,2097,1976,2077,2160,2097,2049,1898,1866,2105,2044,2073,2050,2135,2175,1928,1922,2267,2116,2001,1685,1619,1916,1988,1788,1808,1902,1988,1990,1859,1838
