"WmoCode", "StationNameEnglish", "Latitude", "Longitude", "HeightAboveMSL", "HeightofWindWane", "HeightofBarometer","HeightofThermometer",
"1005001301","48452","BANG KHEN AGROMET.","13.85","100.58333333333","4.00","-9999","-9999","-9999",
"1033001201","48455","BANGKOK METROPOLIS","13.726388888889","100.56","3.01","10.00","4.27","1.25",
"1033001202","48454","BANGKOK PORT (KLONG TOEI)","13.706944444444","100.56805555556","2.80","11.00","6.00","1.25",
"1036001201","48456","DON MUANG AIRPORT","13.919166666667","100.605","12.00","10.00","12.30","17.50",
"1047001301","48453","BANG NA AGROMET.","13.666388888889","100.60611111111","3.00","10.00","6.10","1.25",
"1101001201","48457","PILOT STATION","13.393888888889","100.59944444444","14.00","34.00","14.66","32.40",
"1103001201","48429","SUVARNABHUMI AIRPORT","13.686388888889","100.7675",".96","-9999","6.14","-9999",
"1103001301","48420","Samut Prakarn","13.516666666667","100.76166666667","1.44","11.00","3.90","1.20",
"1302001301","48419","PATHUMTHANI","14.1","100.61666666667","6.00","11.00","7.00","1.20",
"1601001201","48426","LOP BURI","14.799722222222","100.645","10.00","13.00","11.44","1.20",
"1604001401","48418","BUA CHUM","15.266666666667","101.18736111111","49.28","11.17","51.47","1.50",
"1804001301","48402","CHAINAT AGROMET.","15.15","100.18333333333","15.00","11.50","16.85","1.50",
"2001001201","48459","CHON BURI","13.366666666667","100.98333333333",".86","13.60","2.48","1.50",
"2004001201","48461","PHATTHAYA","12.92","100.86944444444","58.93","10.00","60.80","1.20",
"2007001201","48463","LAEM CHABANG","13.076944444444","100.87583333333","81.00","97.30","81.70","1.20",
"2008001201","48460","KO SICHANG","13.161666666667","100.80194444444","24.85","12.80","27.38","1.20",
"2009001201","48477","SATTAHIP","12.683333333333","100.98333333333","16.00","1.50","18.00","1.25",
"2101001201","48478","RAYONG","12.632222222222","101.34361111111","2.60","15.00","4.54","1.20",
"2101001301","48479","HUAI PONG AGROMET.","12.733333333333","101.13333333333","43.00","10.20","45.10","1.20",
"2201001201","48480","CHANTHA BURI","12.616666666667","102.11333333333","2.68","11.50","3.60","1.25",
"2202001301","48481","PHLIU  AGROMET.","12.508611111111","102.17305555556","24.00","11.18","24.10","1.55",
"2302001201","48501","TRAD","11.766666666667","102.88333333333","2.00","11.10","4.00","1.25",
"2408001301","48458","CHACHOENGSAO","13.515555555556","101.45833333333","70.17","11.00","70.17","1.20",
"2501001201","48430","PRACHIN BURI","14.058416666667","101.36930555556","5.14","10.00","7.14","1.50",
"2502001401","48439","KABIN BURI","13.983333333333","101.70722222222","12.74","11.00","12.56","1.40",
"2701001401","48440","SA KAEW","13.788888888889","102.03472222222","42.93","11.00","43.16","1.30",
"2706001201","48462","ARANYA PRATHET","13.7","102.58333333333","47.00","14.20","49.00","1.20",
"3001001201","48431","NAKHON RATCHASIMA","14.968305555556","102.08602777778","186.60","11.50","187.02","1.25",
"3007001401","48434","CHOK CHAI","14.718888888889","102.16861111111","190.34","12.50","193.32","1.44",
"3021001301","48435","PAKCHONG AGROMET.","14.643888888889","101.33194444444","386.12","11.15","387.92","1.25",
"3104001401","48436","NANG RONG","14.583333333333","102.8","179.00","11.10","181.70","1.50",
"3111001201","48437","BURIRUM","15.22575","103.24808333333","182.00","11.30","184.00","2.00",
"3201001201","48432","SURIN","14.883333333333","103.5","145.81","11.50","147.36","1.20",
"3201001301","48433","SURIN AGROMET.","14.883333333333","103.45","142.56","11.00","144.82","1.25",
"3203001401","48416","THA TUM","15.316666666667","103.68333333333","127.62","10.93","129.30","1.30",
"3301001301","48409","SI SAKET AGROMET.","15","104.05","122.87","1.00","127.32","1.00",
"3401001501","48407","UBON RATCHATHANI","15.25","104.86666666667","122.00","11.75","123.50","1.50",
"3432001301","48408","UBON RATCHATHANI AGROMET.","15.239138888889","105.0235","129.76","10.70","130.56","1.25",
"3601001201","48403","CHAIYAPHUM","15.8","102.03333333333","182.15","12.15","184.39","1.20",
"4001001201","48381","KHON KAEN","16.461111111111","102.78972222222","186.97","18.75","193.66","1.25",
"4001001202","-9999","Khon Kaen Airport","-9999","-9999","-9999","-9999","-9999","-9999",
"4001001301","48384","THA PHRA AGROMET.","16.333333333333","102.81666666667","166.00","11.00","166.70","1.25",
